periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,61.4900016784668,63.47999954223633,60.939998626708984,62.70000076293945,4872100.0,60.925174713134766,0.0,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,62.31999969482422,64.0,59.0099983215332,59.150001525878906,7839500.0,57.47566604614258,0.89,0.0
3M,USD,0.0,0.23,244831000.0,136198000.0,21338397281.0,403983000.0,382715000.0,16847849000.0,8635985000.0,13659904281.0,51312000.0,-3424094000.0,9772865000.0,6,2025,WPC,62.400001525878906,62.65999984741211,61.470001220703125,62.56999969482422,4982800.0,61.674293518066406,0.0,0.0
3M,USD,0.0,0.23,244831000.0,136198000.0,21338397281.0,403983000.0,382715000.0,16847849000.0,8635985000.0,13659904281.0,51312000.0,-3424094000.0,9772865000.0,6,2025,WPC,62.689998626708984,63.880001068115234,62.310001373291016,63.34000015258789,4954900.0,62.43327331542969,0.0,0.0
3M,USD,0.0,0.23,244831000.0,136198000.0,21338397281.0,403983000.0,382715000.0,16847849000.0,8635985000.0,13659904281.0,51312000.0,-3424094000.0,9772865000.0,6,2025,WPC,63.290000915527344,64.12000274658203,62.220001220703125,63.400001525878906,7049600.0,62.49241638183594,0.0,0.0
3M,USD,0.0,0.23,244831000.0,136198000.0,21338397281.0,403983000.0,382715000.0,16847849000.0,8635985000.0,13659904281.0,51312000.0,-3424094000.0,9772865000.0,6,2025,WPC,63.66999816894531,64.69999694824219,62.27000045776367,62.869998931884766,6891500.0,61.970001220703125,0.0,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.15999984741211,18.71500015258789,18.010000228881836,18.25,3649300.0,17.029294967651367,0.0,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.219999313354492,18.65999984741211,18.100000381469727,18.639999389648438,5294100.0,17.393205642700195,0.0,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.809999465942383,19.100000381469727,18.530000686645508,18.729999542236328,7138900.0,17.477188110351562,0.0,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.920000076293945,19.040000915527344,18.625,18.84000015258789,4417700.0,17.579830169677734,0.0,0.0
3M,USD,2124000.0,0.19,8999000.0,55155000.0,5506376650.0,60255000.0,101383000.0,4944734000.0,1820178000.0,3572207650.0,37268000.0,-467922000.0,2124927000.0,9,2024,BNL,18.579999923706055,19.149999618530273,18.024999618530273,18.170000076293945,5608600.0,16.95464515686035,0.29,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,17.40999984741211,17.510000228881836,17.0,17.239999771118164,4675800.0,16.338342666625977,0.0,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,17.229999542236328,17.329999923706055,16.799999237060547,16.899999618530273,4923700.0,16.016124725341797,0.0,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,16.8700008392334,17.18600082397461,15.34000015258789,16.06999969482422,10064500.0,15.229534149169922,0.0,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,16.0,16.25,15.859999656677246,15.9399995803833,2716700.0,15.106332778930664,0.0,0.0
3M,USD,3281000.0,0.14,14845000.0,47698000.0,4979030360.0,57468000.0,105365000.0,4916870000.0,1913125000.0,2991608360.0,27607000.0,-496543000.0,2074993000.0,12,2024,BNL,15.9399995803833,15.989999771118164,15.619999885559082,15.850000381469727,3650600.0,15.021040916442871,0.29,0.0
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,17.0,17.190000534057617,16.510000228881836,16.969999313354492,5443400.0,16.380666732788086,0.0,0.0
3M,USD,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,3,2025,BNL,17.059999465942383,17.364999771118164,16.514999389648438,17.059999465942383,7391100.0,16.46754264831543,0.0,0.0
