periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL-PA,22.520000457763672,22.780000686645508,22.010000228881836,22.15999984741211,67958.0,20.85710334777832,0.0,0.0
3M,USD,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL-PA,22.18000030517578,22.940000534057617,22.18000030517578,22.600000381469727,50828.0,21.2712345123291,0.453125,0.0
3M,USD,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL-PA,22.239999771118164,22.959999084472656,22.209999084472656,22.6200008392334,33440.0,21.719257354736328,0.0,0.0
3M,USD,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL-PA,22.684999465942383,23.299999237060547,22.43000030517578,22.43000030517578,62503.0,21.536821365356445,0.0,0.0
3M,USD,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL-PA,22.43000030517578,22.979999542236328,22.399999618530273,22.940000534057617,15678.0,22.026514053344727,0.0,0.0
3M,USD,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL-PA,22.950000762939453,22.950000762939453,22.350000381469727,22.5,26297.0,21.604034423828125,0.0,0.0
3M,USD,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,3,2025,GNL-PA,22.600000381469727,22.989999771118164,21.354999542236328,21.5,153512.0,20.643856048583984,0.453125,0.0
3M,USD,0.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL-PA,22.309999465942383,22.75,21.993099212646484,22.25,27714.0,21.802085876464844,0.0,0.0
3M,USD,0.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL-PA,22.200000762939453,22.59000015258789,22.149999618530273,22.200000762939453,34266.0,21.75309181213379,0.0,0.0
3M,USD,0.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL-PA,22.350000381469727,22.350000381469727,21.801300048828125,22.229999542236328,8219.0,21.782487869262695,0.0,0.0
3M,USD,0.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL-PA,22.350000381469727,22.59000015258789,22.100000381469727,22.100000381469727,31226.0,21.655105590820312,0.0,0.0
3M,USD,71170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024,SAFE,20.799999237060547,21.40999984741211,20.040000915527344,21.18000030517578,1587700.0,20.033218383789062,0.0,0.0
3M,USD,71170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024,SAFE,21.1299991607666,21.270000457763672,19.489999771118164,19.68000030517578,1543800.0,18.61443519592285,0.0,0.0
3M,USD,71170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024,SAFE,19.639999389648438,21.829999923706055,19.5,20.6299991607666,2369100.0,19.512996673583984,0.0,0.0
3M,USD,71170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024,SAFE,20.610000610351562,20.899999618530273,19.81999969482422,20.600000381469727,1223900.0,19.484622955322266,0.177,0.0
