periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,54.04999923706055,60.52000045776367,53.380001068115234,56.400001525878906,25148200,53.097129821777344,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,56.7599983215332,57.91999816894531,54.4900016784668,55.04999923706055,28744900,51.8261833190918,0.87,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,54.790000915527344,61.2400016784668,54.13999938964844,57.810001373291016,24341700,55.28891372680664,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,58.65999984741211,60.56999969482422,55.25,60.02000045776367,21607300,57.40253448486328,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,59.86000061035156,64.26000213623047,59.72999954223633,62.29999923706055,20750600,59.58310317993164,0.875,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,62.29999923706055,62.41999816894531,55.59000015258789,55.720001220703125,23747600,54.04377746582031,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,55.97999954223633,58.29999923706055,54.5099983215332,57.060001373291016,22459400,55.343467712402344,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,57.0,57.400001525878906,53.40999984741211,54.47999954223633,26873000,52.8410758972168,0.88,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,2025,0,54.349998474121094,57.06999969482422,52.90999984741211,55.90999984741211,19887400,55.11638259887695,0.0,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,2025,0,55.08000183105469,64.68000030517578,54.689998626708984,64.20999908447266,24360000,63.29856872558594,0.0,0.0
