periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.15999984741211,18.71500015258789,18.010000228881836,18.25,3649300.0,17.340478897094727,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.219999313354492,18.65999984741211,18.100000381469727,18.639999389648438,5294100.0,17.711040496826172,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.809999465942383,19.100000381469727,18.530000686645508,18.729999542236328,7138900.0,17.79655647277832,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.920000076293945,19.040000915527344,18.625,18.84000015258789,4417700.0,17.901073455810547,0.0,0.0
3M,USD,187496000.0,7014000.0,55155000.0,60255000.0,101383000.0,4944734000.0,188507000.0,0.0,-467922000.0,290220.0,1382000.0,9,2024,BNL,18.579999923706055,19.149999618530273,18.024999618530273,18.170000076293945,5608600.0,17.26446533203125,0.29,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,17.40999984741211,17.510000228881836,17.0,17.239999771118164,4675800.0,16.636899948120117,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,17.229999542236328,17.329999923706055,16.799999237060547,16.899999618530273,4923700.0,16.308794021606445,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,16.8700008392334,17.18600082397461,15.34000015258789,16.06999969482422,10064500.0,15.507830619812012,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,16.0,16.25,15.859999656677246,15.9399995803833,2716700.0,15.382377624511719,0.0,0.0
3M,USD,187592000.0,6765000.0,47698000.0,57468000.0,105365000.0,4916870000.0,188626000.0,0.0,-496543000.0,-177489.709594,-9493000.0,12,2024,BNL,15.9399995803833,15.989999771118164,15.619999885559082,15.850000381469727,3650600.0,15.295527458190918,0.29,0.0
